Time,result,bal_pre,leak_val,leak_val_1
Thu Jun  1 11:48:56 2023, PASS_RES,99974.084,5.771,0
Thu Jun  1 11:49:10 2023, PASS_RES,99970.284,8.738,0
Thu Jun  1 11:49:24 2023, PASS_RES,99963.486,2.455,0
Thu Jun  1 11:49:38 2023, PASS_RES,99972.185,5.177,0
Thu Jun  1 11:49:52 2023, PASS_RES,99972.088,5.42,0
Thu Jun  1 11:50:05 2023, PASS_RES,99973.741,5.879,0
Thu Jun  1 11:50:19 2023, PASS_RES,99972.806,4.638,0
Thu Jun  1 11:50:33 2023, PASS_RES,99967.543,3.409,0
Thu Jun  1 11:50:47 2023, PASS_RES,99970.65,6.112,0
Thu Jun  1 11:51:01 2023, PASS_RES,99973.509,7.722,0
Thu Jun  1 11:51:15 2023, PASS_RES,99969.422,1.896,0
Thu Jun  1 11:51:29 2023, PASS_RES,99964.148,2.321,0
Thu Jun  1 11:51:43 2023, PASS_RES,99969.485,2.844,0
Thu Jun  1 11:51:56 2023, PASS_RES,99976.023,4.6,0
Thu Jun  1 11:52:10 2023, PASS_RES,99973.555,5.966,0
Thu Jun  1 11:52:24 2023, PASS_RES,99972.244,3.554,0
Thu Jun  1 11:52:38 2023, PASS_RES,99974.708,4.137,0
Thu Jun  1 11:52:52 2023, PASS_RES,99974.993,3.655,0
Thu Jun  1 11:53:06 2023, PASS_RES,99971.627,1.559,0
Thu Jun  1 11:53:20 2023, PASS_RES,99973.962,2.992,0
Thu Jun  1 11:53:34 2023, PASS_RES,99969.517,3.824,0
Thu Jun  1 11:53:47 2023, PASS_RES,99967.557,6.077,0
Thu Jun  1 11:54:01 2023, PASS_RES,99967.794,5.575,0
Thu Jun  1 11:54:15 2023, PASS_RES,99965.979,3.917,0
Thu Jun  1 11:54:29 2023, PASS_RES,99969.148,4.27,0
Thu Jun  1 11:54:43 2023, PASS_RES,99968.147,7.247,0
Thu Jun  1 11:54:57 2023, PASS_RES,99963.822,2.401,0
Thu Jun  1 11:55:11 2023, PASS_RES,99966.508,7.375,0
Thu Jun  1 11:55:25 2023, PASS_RES,99964.043,5.582,0
Thu Jun  1 11:55:38 2023, PASS_RES,99964.958,5.514,0
Thu Jun  1 11:55:52 2023, PASS_RES,99968.862,2.854,0
Thu Jun  1 11:56:06 2023, PASS_RES,99971.4,7.605,0
Thu Jun  1 11:56:20 2023, PASS_RES,99972.148,2.855,0
Thu Jun  1 11:56:34 2023, PASS_RES,99965.067,3.472,0
Thu Jun  1 11:56:48 2023, PASS_RES,99970.677,3.694,0
Thu Jun  1 11:57:02 2023, PASS_RES,99974.263,3.773,0
Thu Jun  1 11:57:16 2023, PASS_RES,99970.899,3.404,0
Thu Jun  1 11:57:29 2023, PASS_RES,99972.661,1.754,0
Thu Jun  1 11:57:43 2023, PASS_RES,99975.984,2.044,0
Thu Jun  1 11:57:57 2023, PASS_RES,99975.185,5.307,0
Thu Jun  1 11:58:11 2023, PASS_RES,99977.205,6.147,0
Thu Jun  1 11:58:25 2023, PASS_RES,99976.776,7.232,0
Thu Jun  1 11:58:39 2023, PASS_RES,99974.042,7.649,0
Thu Jun  1 11:58:53 2023, PASS_RES,99975.299,3.07,0
Thu Jun  1 11:59:06 2023, PASS_RES,99971.324,5.513,0
Thu Jun  1 11:59:20 2023, PASS_RES,99979.624,8.114,0
